gb_id,label
668576,Rheumatology
177053,"Chemistry, Multidisciplinary"
187851,"Chemistry, Multidisciplinary"
668575,Rheumatology
187839,Rheumatology
187836,"Chemistry, Multidisciplinary"
187842,"Chemistry, Multidisciplinary"
187844,Rheumatology
187841,"Chemistry, Multidisciplinary"
190401,Clinical Neurology;Neurosciences
187835,"Chemistry, Multidisciplinary"
668534,Rheumatology
39640,Dermatology
39644,Rheumatology
39645,Rheumatology
39636,"Chemistry, Medicinal;Pharmacology & Pharmacy;Plant Sciences;Integrative & Complementary Medicine"
237345,Clinical Neurology;Neurosciences
250203,Obstetrics & Gynecology;Reproductive Biology
250190,Rheumatology
747242,Rheumatology
747122,Rheumatology
39600,Rheumatology
696858,Neurosciences
696539,Neurosciences
696541,Neurosciences
39626,Rheumatology
770072,Rheumatology
39616,Rheumatology
39682,Rheumatology
39618,Biochemistry & Molecular Biology
638537,Clinical Neurology;Neurosciences
175159,Rheumatology
262968,Rheumatology
177045,Rheumatology
177035,Rheumatology
830253,Rheumatology
175033,Rheumatology
177044,Rheumatology
177040,"Chemistry, Multidisciplinary"
644025,Clinical Neurology;Neurosciences
250204,Clinical Neurology;Neurosciences
213395,Rheumatology
213396,Rheumatology
213393,Rheumatology
700723,Rheumatology
700745,Rheumatology
700737,Rheumatology
213388,Rheumatology
213394,Rheumatology
693624,Neurosciences
177050,"Chemistry, Multidisciplinary"
134520,Neurosciences
134518,Neurosciences
127677,Rheumatology
693689,Neurosciences
693629,Clinical Neurology;Neurosciences
689293,Rheumatology
155463,Rheumatology
177052,Clinical Neurology;Neurosciences
177051,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
155465,Rheumatology
127682,Clinical Neurology;Neurosciences
557672,Clinical Neurology;Neurosciences
155486,Clinical Neurology;Neurosciences
381265,Rheumatology
995045,Rheumatology
999268,Rheumatology
995041,Rheumatology
995043,Rheumatology
995044,Rheumatology
1029820,Ophthalmology
1029819,Ophthalmology
801720,Pharmacology & Pharmacy
806749,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
830158,Rheumatology
859140,Rheumatology
810773,Rheumatology
815816,Clinical Neurology;Neurosciences
797359,Obstetrics & Gynecology;Reproductive Biology
823677,Rheumatology
39747,Clinical Neurology;Neurosciences
39705,Rheumatology
177025,"Chemistry, Multidisciplinary"
39774,Rheumatology
39742,Cell Biology;Immunology;Pathology
39732,Neurosciences
39748,Clinical Neurology;Neurosciences
177033,"Chemistry, Multidisciplinary"
686155,Neurosciences
39734,Rheumatology
177031,"Chemistry, Multidisciplinary"
823680,Rheumatology
39713,Rheumatology
177032,"Chemistry, Multidisciplinary"
395039,Rheumatology
417112,Immunology
432732,Biochemistry & Molecular Biology;Biophysics
381267,Rheumatology
425534,Immunology;Allergy
381264,Rheumatology
353044,Immunology;Genetics & Heredity
353057,Rheumatology
39296,Endocrinology & Metabolism;Physiology
39391,Rheumatology
39338,Rheumatology
39371,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
39393,Rheumatology
39312,Rheumatology
39357,Rheumatology
39352,Rheumatology
737533,Clinical Neurology;Neurosciences
725323,Rheumatology
36030,Clinical Neurology;Neurosciences
725448,Rheumatology
39341,Rheumatology
737518,Clinical Neurology;Neurosciences
39392,Rheumatology
39314,Rheumatology
729527,Rheumatology
39373,Rheumatology
39347,Rheumatology
766110,Neurosciences;Biochemistry & Molecular Biology
747195,Rheumatology
823678,Rheumatology
823679,Rheumatology
39544,Neurosciences;Biochemistry & Molecular Biology
39580,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
39549,Rheumatology
716918,Endocrinology & Metabolism;Physiology
39286,Rheumatology
39292,Immunology;Neurosciences
39301,Rheumatology
35990,Immunology;Neurosciences
177014,Dermatology
39297,"Chemistry, Multidisciplinary"
39300,Rheumatology
39298,Endocrinology & Metabolism
39293,Neurosciences;Biochemistry & Molecular Biology
39294,Neurosciences;Biochemistry & Molecular Biology
177021,Endocrinology & Metabolism
39681,Neurosciences;Biochemistry & Molecular Biology
39650,Rheumatology
39299,Rheumatology
353040,Rheumatology
353092,Immunology;Genetics & Heredity
187837,Rheumatology
187848,Rheumatology
262097,Rheumatology
155470,Rheumatology
155469,Rheumatology
177037,"Chemistry, Medicinal;Pharmacology & Pharmacy;Plant Sciences;Integrative & Complementary Medicine"
177048,Rheumatology
538206,Ophthalmology
177036,Rheumatology
177043,Rheumatology
39727,Gastroenterology & Hepatology
177026,Rheumatology
177027,Rheumatology
187856,Rheumatology
187847,Rheumatology
668223,Rheumatology
177046,Rheumatology
250206,Rheumatology
177047,Rheumatology
747323,Dermatology
39403,Endocrinology & Metabolism
250192,Rheumatology
39404,Endocrinology & Metabolism
250200,Rheumatology
250199,Rheumatology
374482,Neurosciences
453726,Parasitología animal
454447,Parasitología
460546,Parasitología animal
393081,Immunology;Genetics & Heredity
393068,Immunology;Genetics & Heredity
461515,Invertebrados
461691,Invertebrados
461205,Farmacología
451261,Análisis cromatográfico;Plaguicidas
452488,Parasitología
464739,Parasitología animal
437482,Enfermedades infecciosas
393075,Immunology;Genetics & Heredity
461440,Farmacología
463620,Farmacología
534738,Rheumatology
548810,Rheumatology
451147,Parasitología animal
464360,Parasitología animal
807991,Infectious Diseases
450229,Parasitología animal
448739,Parasitología animal
450724,Parasitología
448741,Parasitología animal
451153,Invertebrados
454824,Parasitología
451557,Invertebrados
460323,Nemátodos
451688,Parasitología
450228,Parasitología animal
450728,Parasitología
450233,Parasitología animal
448727,Parasitología animal
466834,Parasitología animal
437292,Enfermedades infecciosas
452479,Parasitología
459905,Parasitología
451564,Protistas
456286,Parasitología animal
456216,Parasitología
460029,Parasitología animal
455764,Análisis cromatográfico;Plaguicidas
545958,Rheumatology
450755,Patología
455811,Parasitología
454815,Parasitología
452172,Parasitología
453750,Parasitología animal
451262,Análisis cromatográfico;Plaguicidas
455942,Parasitología animal
448751,Parasitología animal
450725,Parasitología
450549,Parasitología animal
540721,Microbiology;Pharmacology & Pharmacy
450231,Parasitología animal
448726,Parasitología animal
393078,Immunology;Genetics & Heredity
393071,Immunology;Genetics & Heredity
418677,Enfermedades infecciosas
606839,Cell Biology;Oncology;Biochemistry & Molecular Biology;Genetics & Heredity
448744,Parasitología animal
452171,Parasitología
451152,Invertebrados
451151,Invertebrados
439293,Enfermedades infecciosas
545518,Infectious Diseases
450757,Parasitología
450230,Parasitología animal
460447,Parasitología animal
460610,Parasitología animal
450563,Protistas
450227,Parasitología animal
448747,Parasitología animal
448743,Parasitología animal
454278,Parasitología
453164,Parasitología animal
460051,Nemátodos
450756,Patología
463851,Parasitología animal
453267,Protistas
532831,Multidisciplinary Sciences
454220,Parasitología
622266,Infectious Diseases
461001,Parasitología animal
450721,Parasitología
450232,Parasitología animal
450722,Parasitología
450727,Parasitología
450723,Parasitología
450234,Parasitología animal
450726,Parasitología
464616,Parasitología animal
448742,Parasitología animal
452480,Parasitología
452653,Parasitología
452489,Invertebrados
453939,Invertebrados
461162,Parasitología animal
453985,Invertebrados
451660,Análisis cromatográfico;Plaguicidas
463636,Parasitología animal
463529,Parasitología animal
454562,Nemátodos
454838,Nemátodos
454156,Parasitología
464147,Parasitología animal
453577,Parasitología
961003,"Chemistry, Medicinal;Chemistry, Organic"
986668,"Biochemistry & Molecular Biology;Chemistry, Multidisciplinary"
986667,Obstetrics & Gynecology;Reproductive Biology
369663,Rheumatology
1010557,Rheumatology
386107,Biochemistry & Molecular Biology
386119,Cell Biology;Oncology;Biochemistry & Molecular Biology;Genetics & Heredity
386124,Biochemistry & Molecular Biology
386114,Cell Biology;Biochemistry & Molecular Biology
386099,Cell Biology;Immunology;Pathology
330284,Biochemistry & Molecular Biology;Biophysics
386112,Biochemistry & Molecular Biology;Parasitology
386109,Biochemistry & Molecular Biology
386115,Cell Biology;Biochemistry & Molecular Biology;Biophysics
525113,Biology
98895,Biochemistry & Molecular Biology
481763,Rheumatology
500247,Multidisciplinary Sciences
386125,Cell Biology;Biochemistry & Molecular Biology;Biophysics
386095,Biochemistry & Molecular Biology;Parasitology
361220,Microbiology
353121,Immunology
361225,Microbiology;Biochemistry & Molecular Biology
520871,Biochemistry & Molecular Biology;Genetics & Heredity
490821,Immunology
98885,Neurosciences;Biochemistry & Molecular Biology
98927,"Chemistry, Medicinal"
98941,"Chemistry, Organic"
98900,Immunology
98929,Rheumatology
98876,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
157110,Cell Biology
98940,"Biochemistry & Molecular Biology;Chemistry, Medicinal"
381268,Immunology;Microbiology;Infectious Diseases
344834,Rheumatology
337084,Rheumatology
374883,"Chemistry, Medicinal"
98982,"Immunology;Medicine, Research & Experimental"
267454,Hematology
955822,"Chemistry, Multidisciplinary"
326560,Multidisciplinary Sciences;Neurosciences;Biochemistry & Molecular Biology
326598,Immunology
326582,Cell Biology;Biochemistry & Molecular Biology
326604,"Immunology;Medicine, Research & Experimental"
326594,Hematology
326607,Hematology
326589,Microbiology;Pharmacology & Pharmacy
326552,Gastroenterology & Hepatology
326556,Immunology;Biochemistry & Molecular Biology
326614,Multidisciplinary Sciences;Neurosciences;Biochemistry & Molecular Biology
326610,"Immunology;Medicine, Research & Experimental"
326612,Gastroenterology & Hepatology
326623,Rheumatology
326621,Biochemistry & Molecular Biology;Biophysics
326578,Genetics & Heredity
326567,Endocrinology & Metabolism;Physiology
326620,Cell Biology;Biochemistry & Molecular Biology
326565,"Chemistry, Medicinal;Chemistry, Organic"
326596,Rheumatology
973090,"Medicine, General & Internal"
346156,Immunology
346105,Biochemistry & Molecular Biology
346131,Immunology
346126,Cell Biology;Biochemistry & Molecular Biology;Biophysics
346100,Rheumatology
346136,Neurosciences
346137,Biochemistry & Molecular Biology;Parasitology
346155,Immunology
346102,"Chemistry, Medicinal"
353079,Immunology;Genetics & Heredity
353063,Immunology;Neurosciences
353069,Cell Biology;Biochemistry & Molecular Biology;Biophysics
353107,Biochemistry & Molecular Biology
353128,Microbiology;Biochemistry & Molecular Biology
361263,Immunology
361271,Immunology
353097,Biochemistry & Molecular Biology;Parasitology
353093,Biochemistry & Molecular Biology
353085,Biochemistry & Molecular Biology;Biophysics
326629,Cell Biology;Biochemistry & Molecular Biology
326613,Immunology
326592,Immunology
326635,Immunology;Parasitology
326599,Biochemistry & Molecular Biology
326625,"Chemistry, Medicinal"
973080,Cell Biology;Immunology;Pathology
353120,Biochemistry & Molecular Biology;Genetics & Heredity
353101,Biochemistry & Molecular Biology
353124,Immunology;Transplantation;Surgery
398569,"Genetics & Heredity;Biotechnology & Applied Microbiology;Medicine, Research & Experimental"
353073,Biochemistry & Molecular Biology
353075,Cell Biology;Biochemistry & Molecular Biology;Biophysics
353133,Cell Biology;Biochemistry & Molecular Biology;Biology
973079,"Chemistry, Medicinal"
353067,Rheumatology
346133,Endocrinology & Metabolism
346093,"Chemistry, Medicinal"
346101,Biochemistry & Molecular Biology
346116,Parasitology
346111,Oncology
346151,Cell Biology;Biochemistry & Molecular Biology
962811,Biochemistry & Molecular Biology
346108,Immunology;Transplantation;Surgery
896256,Immunology
250207,Rheumatology
824458,Obstetrics & Gynecology;Reproductive Biology
854721,"Infectious Diseases;Chemistry, Medicinal"
301589,Rheumatology
818737,Neurosciences
896255,Pharmacology & Pharmacy
846170,Neurosciences
520571,"Biochemistry & Molecular Biology;Chemistry, Medicinal"
815510,Immunology
801719,"Chemistry, Medicinal"
801718,Infectious Diseases;Parasitology;Tropical Medicine
790745,Parasitology;Tropical Medicine
157117,Rheumatology
39400,Immunology
478420,Pharmacology & Pharmacy
39426,Rheumatology
157115,Rheumatology
499489,Genetics & Heredity
39401,Genetics & Heredity
39375,Rheumatology
39328,Endocrinology & Metabolism;Neurosciences
39339,Cardiac & Cardiovascular Systems;Peripheral Vascular Disease
39378,"Chemistry, Medicinal;Pharmacology & Pharmacy;Plant Sciences;Integrative & Complementary Medicine"
39356,"Chemistry, Medicinal"
39390,Genetics & Heredity
39327,Rheumatology
39376,Rheumatology
39388,Rheumatology
387076,"Chemistry, Medicinal;Chemistry, Organic"
387110,Parasitology
387082,"Chemistry, Medicinal"
387078,Immunology
387063,Biochemistry & Molecular Biology
387086,Immunology;Genetics & Heredity
387099,Biochemistry & Molecular Biology
387097,Microbiology;Pharmacology & Pharmacy
387105,Immunology
386113,Rheumatology
220628,Pharmacology & Pharmacy
393079,Protistas
